Country,City,Street,PostalCode,PhoneNet
NL,Utrecht,Prinses Irenelaan,3554 HH,30
NL,Spankeren,Loohof,6956 CM,313
NL,Lelystad,Punter,8242 GH,320
NL,Hoeven,Sprangweg,4741 RC,165
NL,Oudewater,Utrechtsestraatweg,3421 GP,348
NL,Leek,Midwolderweg,9351 PT,594
NL,Amersfoort,Duifpolder,3825 JC,33
NL,Dordrecht,Groen van Prinstererweg,3317 SN,78
NL,Nijmegen,Lankforst,6538 GX,24
NL,Dordrecht,Goudestein,3328 MC,78
NL,Hoorn,Poolster,1622 EE,562
NL,Badhoevedorp,Sloterweg,1171 CE,20
NL,Nieuw Vennep,Reestein,2151 KB,6
NL,Dieren,Goeman Borgesiusstraat,6951 BH,313
NL,Deventer,Brink,7411 BV,570
NL,Haarlem,Warschaustraat,2034 VK,23
NL,Den Haag,Kobaltstraat,2544 ET,70
NL,Rotterdam,Delfgaauwstraat,3037 LS,10
NL,Zeewolde,Nienoord,3894 AP,36
NL,Rotterdam,Frankendaal,3075 XR,10
NL,Amsterdam,Sportstraat,1076 TV,20
NL,Holten,Larenseweg,7451 NA,548
NL,Veenendaal,Castor,3902 SJ,318
NL,Houten,Wijnbouw,3991 NL,30
NL,Den Haag,Paul Krugerlaan,2571 HK,70
NL,Bilthoven,Putterlaan,3722 WT,30
NL,Ommen,Egelantierstraat,7731 VL,529
NL,Bunschoten-Spakenburg,Colijnstraat,3752 AP,33
NL,Amsterdam,Wijenburg,1082 VS,20
NL,Landgraaf,Europaweg-Noord,6374 CG,45
NL,Harkema,Warmoltsstrjitte,9281 PR,512
NL,Waalwijk,Zomerdijkweg,5145 PK,416
NL,s-Hertogenbosch,Tesselschadestraat,5216 JW,73
NL,Heerlen,Belgiëlaan,6414 HM,45
NL,Reuver,Industriestraat,5953 LX,77
NL,Woltersum,Kollerijweg,9795 PM,50
NL,Rotterdam,Van Poeljeweg,3052 TM,10
NL,s-Heerenhoek,Dregmansstraat,4453 AZ,6
NL,Gramsbergen,Loozermars-Noord,7783 EP,524
NL,Haaften,Dutry van Haeftenstraat,4175 EL,418
NL,Hoogmade,Kerkstraat,2355 ZA,71
NL,Apeldoorn,Parelvissersstraat,7323 CJ,55
NL,Borculo,Lange Wal,7271 AN,545
NL,Tilburg,Abdij van Egmondstraat,5037 CR,13
NL,Velden,Wederik,5941 AZ,77
NL,Leiden,Klikspaanweg,2324 LX,71
NL,Leunen,Bershof,5809 BH,478
NL,Almelo,Bornerbroeksestraat,7609 PJ,546
NL,Woldendorp,Schildkamp,9946 RS,596
NL,Amstelhoek,Amstelkade,1427 AR,297
NL,s-Hertogenbosch,Brussellaan,5224 VJ,73
NL,Emmeloord,Kloppenburgstraat,8302 GE,527
NL,Deventer,Moreelsestraat,7412 SW,570
NL,Ulicoten,Nieuwe Strumpt,5113 BX,13
NL,Asten,Hemel,5721 HH,493
NL,Dalerpeel,Steigerwijk,7753 TS,524
NL,Zelhem,Markt,7021 AA,314
NL,Groesbeek,Van Nispenstraat,6561 BD,24
NL,Goirle,Beatrixstraat,5051 NB,13
NL,Hem,Veilingstraat,1607 BC,228
NL,Landgraaf,Ceintuurstraat,6372 HC,45
NL,Almere,Kiel,1319 CL,36
NL,Sneek,Tsjomme Wiardaleane,8605 CE,515
NL,Middelburg,Jazzroute,4337 XB,118
NL,Bovensmilde,Hoofdweg,9421 VG,592
NL,Schoonebeek,Liaslaan,7761 BB,524
NL,Nieuwegein,Nijpelsplantsoen,3431 ST,30
NL,Leeuwarden,De Gronzen,8939 AR,58
NL,Maasland,s Prinsensingel,3155 VK,10
NL,Wezep,Callunastraat,8091 VV,38
NL,Amersfoort,Plompstraat,3815 MX,33
NL,Groningen,Vlierstraat,9741 HW,50
NL,Amersfoort,Huiszoonstraat,3815 PW,33
NL,Rotterdam,Doctor de Visserstraat,3038 TM,10
NL,Katwijk,Vinkeweg,2223 JM,485
NL,Almere,Schaakveld,1359 HL,36
NL,Dordrecht,Stratosfeerstraat,3328 GR,78
NL,Capelle aan den IJssel,Schonberglaan,2901 JA,10
NL,Nieuwegein,Minervaburg,3437 GW,30
NL,Den Dolder,Paltzerweg,3734 CT,30
NL,Eibergen,Avinksstuw,7151 MS,545
NL,Zwolle,Rodehaanstraat,8011 RR,38
NL,Liessel,Kennelweg,5757 RJ,493
NL,Heerlen,Veldmuis,6416 WD,45
NL,Spijkenisse,Heijermansstraat,3202 VG,181
NL,Vlijmen,Industriepark Vliedberg,5251 RG,73
NL,Terheijden,Noordseweg,4844 PA,76
NL,Brunssum,Schinkelstraat,6444 AD,45
NL,Steenwijk,De Wanne,8332 LA,521
NL,Roermond,Roerderweg,6041 NP,475
NL,Haarle,Wittebroeksweg,7448 PS,548
NL,Haarlem,Delftlaan,2024 CB,23
NL,Weert,Diesterbaan,6006 TC,495
NL,Castricum,Bizetstraat,1901 XR,251
NL,Ferwert,It Suderheech,9172 RG,6
NL,Dodewaard,Wilhelminalaan,6669 AC,488
NL,Abcoude,Hoogstraat,1391 BV,294
NL,Amersfoort,Poortersdreef,3824 DL,33
NL,Reusel,Kippereind,5541 NG,497
NL,Lent,Keimate,6663 KB,24
NL,Borger,Torenakkers,9531 AV,599
NL,Almelo,Sluitersveldssingel,7603 BJ,546
NL,Delft,Wezelstraat,2623 CK,15
NL,Leusden,Dioriet,3831 VT,33
NL,Amsterdam,Loenermark,1025 TJ,20
NL,Hilversum,Hazelaarlaan,1214 LK,35
NL,Groningen,Aart van der Leeuwlaan,9721 TJ,50
NL,Voorburg,Populierendreef,2272 HX,70
NL,Apeldoorn,Kalmoesstraat,7322 NV,55
NL,Haarlem,Jan Huijgenstraat,2012 VC,23
NL,Woerden,Polanerzandweg,3446 CC,348
NL,Soest,Wiardi Beckmanstraat,3762 HD,35
NL,Sinderen,Harterinkdijk,7065 AP,315
NL,Oost-Souburg,Braamstraat,4388 CP,118
NL,Hoogvliet,Lisdodde,3191 JJ,6
NL,Almere,Jimi Hendrixstraat,1311 JA,36
NL,Amsterdam,Pieter Postpad,1067 DX,20
NL,Zeist,Platolaan,3707 GJ,30
NL,Enschede,Zijpendaal,7544 NS,53
NL,Amsterdam,Weteringschans,1017 XV,20
NL,Pijnacker,De Savornin Lohmanlaan,2641 WR,15
NL,s-Hertogenbosch,De Vutter,5221 BD,73
NL,Den Haag,Burgemeester Patijnlaan,2585 BL,70
NL,Bunnik,Marsdijk,3981 HE,30
NL,Heerde,Haneweg,8181 RZ,578
NL,Dodewaard,Edisonring,6669 NB,488
NL,Waalwijk,Willaertpark,5144 VN,416
NL,Poortugaal,Achterweg,3171 EA,10
NL,Zoetermeer,Van Aalstlaan,2722 RZ,79
NL,Leerdam,Eikstraat,4142 CR,345
NL,Den Haag,De Gaarde,2542 CK,70
NL,Middelburg,Bellinkstraat,4331 GV,118
NL,Bilthoven,Wagnerlaan,3723 JT,30
NL,Haarlem,Zomerkade,2032 WB,23
NL,Roosendaal,Van Goghlaan,4703 JB,165
NL,Hilvarenbeek,Sint Catharinastraat,5081 VJ,13
NL,Schaijk,Pastoor van Winkelstraat,5374 BL,486
NL,Amsterdam,Korte Geuzenstraat,1056 KW,20
NL,Eefde,Achterzoom,7211 NG,575
NL,Obbicht,Bornerweg,6125 BH,46
NL,Rosmalen,De Oude Kamp,5247 WK,73
NL,Bleiswijk,Eendendreef,2665 TA,10
NL,Hengelo,Breemarsweg,7553 HB,74
NL,Meppel,Blankenstein,7943 PA,522
NL,Almelo,Kogellaan,7602 JL,546
NL,Rotterdam,Spiegelnisserkade,3031 VM,10
NL,Haarlem,Petrus Planciusstraat,2012 TZ,23
NL,Sint-Oedenrode,Gerbrandystraat,5491 CS,413
NL,Soest,Plasweg,3768 AK,35
NL,Zoetermeer,Marotplan,2728 EL,79
NL,Den Haag,Carry van Bruggenhof,2548 MR,70
NL,Landsmeer,Loevestein,1121 HE,20
NL,Bilthoven,Jan Steenlaan,3723 BT,30
NL,Amsterdam,Kinkerstraat,1053 EN,20
NL,Lemelerveld,Achterkampweg,8153 RJ,572
NL,Slijk-Ewijk,Grote Allee,6677 MA,481
NL,Uitgeest,Benesserlaan,1911 VK,251
NL,Den Haag,Bussumsestraat,2574 JM,70
NL,Spijkenisse,Tritonpad,3204 TW,181
NL,Meppen,Brinken,7855 PC,591
NL,Apeldoorn,Kamerlingh Onnesstraat,7316 LN,55
NL,Zutphen,Weg naar Laren,7203 HE,575
NL,Groningen,Aquamarijnstraat,9743 PM,50
